300,77,1800,1921,1921
318,77,1989,2051,2051
319,77,1981,2029,2029
320,77,1800,1997,1997
84,78,1800,1921,1921
85,78,1800,1969,1969
86,78,1983,2000,2000
87,78,2021,2015,2015
88,78,2027,2035,2035
89,78,1978,2046,2046
90,78,1974,2060,2060
91,78,1979,2073,2073
92,78,1985,2077,2077
93,78,1981,2075,2079
94,78,1980,2063,2078
95,78,2079,2057,2077
96,78,1987,2051,2076
0,0,0,0,0
98,78,1991,2046,2076
99,78,1984,2043,2076
0,0,0,0,0
101,78,1986,2043,2076
102,78,1985,2042,2076
0,0,0,0,0
104,78,1985,2041,2077
0,0,0,0,0
106,78,1987,2040,2078
107,78,1984,2039,2110
0,0,0,0,0
109,78,1986,2036,2110
110,78,1987,2032,2074
111,78,1982,2027,2049
112,78,1985,2022,2047
113,78,1986,2019,2039
114,78,1983,2016,2039
115,78,1982,2015,2038
116,78,1984,2016,2038
117,78,1984,2017,2038
118,78,1985,2017,2043
119,78,1987,2017,2042
120,78,1991,2017,2042
121,78,1992,2017,2043
122,78,1992,2016,2038
123,78,1992,2016,2043
124,78,1994,2016,2043
125,78,1994,2016,2038
126,78,1994,2017,2043
127,78,1995,2017,2043
128,78,1997,2018,2043
129,78,2000,2018,2043
130,78,2001,2019,2043
131,78,2001,2021,2043
132,78,2003,2022,2043
133,78,2003,2022,2043
134,78,2003,2021,2049
135,78,2004,2022,2043
136,78,2004,2021,2049
137,78,2007,2020,2043
138,78,2005,2019,2043
139,78,2004,2018,2045
140,78,2005,2016,2043
141,78,2004,2016,2045
142,78,2005,2015,2045
143,78,2005,2016,2045
144,78,2005,2016,2045
145,78,2008,2017,2045
146,78,2011,2018,2046
147,78,2012,2018,2047
148,78,2013,2019,2047
149,78,2013,2019,2047
150,78,2014,2019,2047
151,78,2014,2017,2048
152,78,2015,2017,2048
153,78,2014,2016,2048
154,78,2016,2016,2048
155,78,2015,2015,2048
156,78,2017,2016,2048
157,78,2017,2016,2048
158,78,2019,2018,2048
159,78,2018,2018,2048
160,78,2019,2018,2048
161,78,2018,2018,2053
162,78,2019,2018,2053
163,78,2020,2019,2053
164,78,2020,2019,2053
165,78,2020,2019,2057
166,78,2020,2019,2057
167,78,2020,2020,2057
168,78,2020,2020,2057
169,78,2020,2019,2059
170,78,2020,2020,2059
171,78,2022,2021,2059
172,78,2023,2022,2059
173,78,2022,2022,2053
174,78,2023,2022,2053
175,78,2022,2021,2053
176,78,2023,2022,2053
177,78,2022,2021,2053
178,78,2021,2020,2048
179,78,2020,2019,2048
180,78,2022,2021,2048
181,78,2021,2020,2054
182,78,2021,2019,2054
183,78,2020,2019,2054
184,78,2021,2020,2054
185,78,2021,2020,2054
186,78,2020,2019,2054
187,78,2021,2020,2054
