1,3,4.1347,3.9939,3.8431,3.6898,3.545,3.4093,3.2835,3.1778,3.0893,3.0349,2.9793,2.9362,2.878,2.8388,2.798,2.759,2.7207,2.6982,2.6933,2.7093,2.7262,2.7497,2.7713,2.8105,2.8585,2.9144,2.9681,3.0187,3.0648,3.1063,3.1416,3.1777,3.2192,3.2493,3.2864,3.3136,3.337,3.357,3.3825,3.404,3.4256,3.4384,3.4649,3.4857,3.4887,3.4839,3.4829,3.4882,3.4893,3.5054,3.5143,3.5162,3.5177,3.5117,3.5071,3.4932,3.4661,3.4411,3.4169,3.3838,3.3452,3.3003,3.2561,3.2219,3.1937,3.1613,3.1301,3.1066,3.0827,3.0638,3.0564,3.046,3.059,3.062,3.0577,3.0539,3.0492,3.0456,3.0425,3.0506,3.0718,3.0886,3.0879,3.0909,3.0926,3.099,3.1149,3.1195,3.1297,3.1493,3.1642,3.1737,3.1785,3.1764,3.1808,3.1893,3.2019,3.2093,3.2244,3.2469,3.2754,3.3035,3.3294,3.3508,3.3768,3.4135,3.4486,3.4708,3.487,3.4997,3.5215,3.5362,3.5636,3.5943,3.6268,3.6461,3.6729,3.7002,3.7398,3.7738,3.8037,3.8447,3.8961,3.9399,3.9858,4.0345,4.0819,4.1302,4.1781,4.2349,4.2773,4.3089,4.3402,4.3773,4.418,4.4464,4.4623,4.4549,4.4429,4.431,4.4347,4.4486,4.4508,4.4608,4.478,4.4887,4.4976,4.5047,4.514,4.5211,4.5265,4.5381,4.5582,4.5904,4.635,4.6941,4.7569,4.8406,4.9332,5.0281,5.1276,5.2331,5.3516,5.4887,5.633,5.7937,5.974,6.1655,6.3698,6.5803,6.8056,7.0375,7.2866,7.5507,7.8287,8.1225,8.4301,8.7527,9.0883
2,3,5.0049,4.8233,4.6467,4.4808,4.3407,4.207,4.0945,3.9865,3.9079,3.8368,3.7821,3.7229,3.6774,3.6373,3.5947,3.5707,3.5526,3.5266,3.514,3.5215,3.5317,3.5571,3.5749,3.5948,3.6349,3.6726,3.7388,3.8025,3.8541,3.9078,3.9645,4.0174,4.0613,4.1085,4.1514,4.1765,4.1921,4.1928,4.1673,4.143,4.1385,4.1457,4.1583,4.1681,4.1821,4.1926,4.1963,4.1921,4.1665,4.1339,4.1066,4.0747,4.055,4.0391,4.0193,3.9982,3.9724,3.954,3.9248,3.9111,3.8874,3.8674,3.8438,3.8213,3.7972,3.7882,3.7795,3.7761,3.7584,3.754,3.7624,3.7673,3.7845,3.798,3.8037,3.8113,3.8252,3.8504,3.8821,3.9122,3.9345,3.9432,3.9567,3.9656,3.9703,3.9734,3.9668,3.9724,3.9879,4.0019,4.0158,4.0324,4.047,4.0494,4.0651,4.0762,4.1044,4.1453,4.1832,4.2304,4.2789,4.325,4.371,4.4042,4.4252,4.4377,4.4666,4.4992,4.5329,4.5691,4.594,4.6105,4.6289,4.6364,4.6344,4.6589,4.696,4.7323,4.7697,4.8123,4.8484,4.8618,4.8735,4.8708,4.8833,4.9052,4.9271,4.9508,4.9661,4.9783,4.9973,4.9975,5.0069,5.0072,4.994,4.9807,4.99,5.0095,5.0186,5.0396,5.0464,5.0569,5.0815,5.1022,5.1289,5.1537,5.1831,5.195,5.176,5.178,5.1807,5.1962,5.2178,5.247,5.2843,5.3287,5.3913,5.4659,5.5639,5.6777,5.8022,5.9348,6.074,6.2354,6.426,6.6464,6.883,7.143,7.4181,7.7026,8.0069,8.3075,8.615,8.9385,9.2956,9.6898,10.093,10.521,10.99
3,3,5.5697,5.3852,5.1964,5.0101,4.8323,4.6729,4.5295,4.4016,4.2798,4.1781,4.0963,4.03,3.979,3.9423,3.9101,3.8752,3.847,3.8241,3.8057,3.8149,3.8298,3.8461,3.8561,3.8622,3.8751,3.8849,3.9151,3.9647,4.0437,4.1113,4.1765,4.2397,4.2925,4.363,4.4198,4.4731,4.5189,4.5601,4.6081,4.6558,4.6871,4.7332,4.768,4.7952,4.8213,4.8245,4.8415,4.8481,4.8516,4.8477,4.8332,4.8181,4.7994,4.7861,4.7717,4.7497,4.7378,4.7311,4.7206,4.6993,4.6929,4.6999,4.6846,4.6658,4.64,4.6075,4.5793,4.5452,4.533,4.5114,4.485,4.4743,4.4626,4.4524,4.4401,4.4187,4.3999,4.3867,4.376,4.3491,4.3154,4.2913,4.2654,4.2502,4.23,4.2243,4.206,4.2014,4.2108,4.2262,4.2388,4.2708,4.3145,4.3534,4.4035,4.4438,4.4881,4.5326,4.5589,4.593,4.6073,4.6198,4.6117,4.6022,4.6006,4.5936,4.5803,4.5773,4.5811,4.6009,4.6139,4.6333,4.6527,4.6644,4.675,4.6719,4.664,4.6472,4.6234,4.6111,4.6015,4.5909,4.5893,4.581,4.5654,4.5515,4.5442,4.5272,4.5132,4.5033,4.4972,4.5001,4.5094,4.5285,4.5566,4.6022,4.6541,4.7117,4.7651,4.8262,4.8912,4.965,5.0311,5.0935,5.1537,5.2213,5.2911,5.3655,5.44,5.5158,5.5884,5.6488,5.7009,5.7638,5.835,5.904,5.9908,6.0793,6.1687,6.2803,6.4107,6.5575,6.726,6.9007,7.0709,7.2603,7.4627,7.6805,7.916,8.158,8.407,8.6785,8.9719,9.2879,9.6164,9.9427,10.297,10.657,11.036
209,3,4.8815,4.7247,4.5689,4.4162,4.2772,4.1422,4.0195,3.9061,3.8151,3.7374,3.6642,3.6109,3.5742,3.5635,3.565,3.5677,3.571,3.5787,3.5944,3.6112,3.6193,3.6213,3.6247,3.6339,3.6447,3.6532,3.6647,3.6854,3.7053,3.7274,3.7459,3.7867,3.8409,3.8983,3.944,3.9807,4.0091,4.0258,4.0335,4.0361,4.0536,4.0775,4.0961,4.124,4.1479,4.1691,4.1815,4.186,4.1978,4.1903,4.1958,4.2134,4.2448,4.2901,4.3411,4.3952,4.4441,4.4986,4.5313,4.5462,4.5436,4.5619,4.5574,4.5411,4.5231,4.51,4.5005,4.4835,4.4756,4.4654,4.4577,4.4616,4.449,4.4453,4.4338,4.4134,4.3923,4.3775,4.3708,4.3733,4.3829,4.395,4.411,4.4244,4.4372,4.4384,4.4314,4.415,4.3837,4.3622,4.3332,4.3125,4.2879,4.2707,4.2531,4.2267,4.2052,4.1816,4.1627,4.1609,4.1704,4.178,4.1974,4.216,4.2349,4.2631,4.2947,4.3273,4.3567,4.3745,4.3845,4.4161,4.4341,4.4441,4.443,4.4426,4.4489,4.4525,4.4562,4.4439,4.4149,4.3938,4.372,4.3443,4.3278,4.3076,4.275,4.2441,4.2172,4.1932,4.1751,4.1754,4.1903,4.2032,4.2232,4.2258,4.2223,4.2238,4.2256,4.2238,4.2241,4.246,4.2456,4.2603,4.2579,4.2511,4.2405,4.2374,4.2445,4.2476,4.2319,4.2024,4.1768,4.1477,4.1279,4.1047,4.0632,4.0167,3.9824,3.9559,3.9505,3.946,3.9651,3.9981,4.0365,4.0779,4.1409,4.209,4.2909,4.3855,4.5069,4.6297,4.7744,4.9453,5.1323,5.3379,5.5722,5.8251,6.0887
210,3,5.9421,5.7946,5.6534,5.504,5.3561,5.2161,5.1005,4.9856,4.9029,4.8206,4.7728,4.7301,4.6972,4.6712,4.665,4.6871,4.7213,4.7803,4.8086,4.8176,4.8389,4.8602,4.8651,4.8737,4.9085,4.93,4.933,4.906,4.8614,4.8356,4.8298,4.8425,4.8567,4.8654,4.8589,4.8513,4.853,4.8429,4.8516,4.8614,4.8646,4.8759,4.904,4.948,4.9816,5.0154,5.0502,5.0988,5.1371,5.1387,5.1355,5.1478,5.1421,5.1353,5.1211,5.0907,5.0639,5.0483,5.0464,5.0357,5.0205,4.991,4.9809,4.9822,5.0077,5.01,5.0063,4.9725,4.9568,4.9272,4.9094,4.923,4.9311,4.9397,4.939,4.94,4.917,4.8839,4.858,4.8184,4.7956,4.7562,4.7452,4.7188,4.6853,4.6758,4.6933,4.7042,4.702,4.7031,4.699,4.7279,4.7844,4.8273,4.8583,4.9008,4.9012,4.8695,4.8339,4.7462,4.6733,4.6408,4.6312,4.6208,4.6378,4.6748,4.7081,4.7181,4.7377,4.7353,4.7218,4.6949,4.6942,4.71,4.7466,4.781,4.787,4.7846,4.7782,4.7626,4.7548,4.7421,4.7392,4.7097,4.6633,4.6113,4.573,4.5481,4.5172,4.4947,4.4608,4.4368,4.3952,4.3446,4.293,4.2149,4.1504,4.0957,4.0373,3.9851,3.9443,3.9235,3.9191,3.9242,3.9188,3.8982,3.8893,3.8865,3.893,3.9126,3.941,3.9881,4.0411,4.0911,4.1415,4.1572,4.1756,4.1858,4.1745,4.1807,4.1871,4.1844,4.1778,4.155,4.148,4.1722,4.2419,4.3277,4.4632,4.6074,4.778,4.9711,5.1524,5.3532,5.5744,5.8102,6.0836,6.402,6.7534
211,3,6.0545,5.8749,5.6992,5.5377,5.3832,5.2371,5.089,4.947,4.8192,4.7111,4.6181,4.5362,4.4687,4.4134,4.3706,4.3333,4.313,4.2996,4.2766,4.2637,4.2513,4.2309,4.2068,4.1833,4.1644,4.1545,4.1509,4.1577,4.1665,4.1934,4.2229,4.2559,4.2976,4.3287,4.3454,4.3727,4.4,4.4114,4.404,4.3891,4.3697,4.3549,4.3555,4.3618,4.3556,4.3517,4.3399,4.326,4.3221,4.311,4.3051,4.307,4.3026,4.2951,4.2879,4.2807,4.2805,4.2855,4.2964,4.3082,4.3126,4.3113,4.3204,4.3284,4.3306,4.3334,4.3258,4.3254,4.3169,4.3013,4.2973,4.2752,4.2682,4.2646,4.2482,4.2259,4.2004,4.1793,4.1605,4.1514,4.1513,4.1624,4.1681,4.166,4.1735,4.1793,4.1821,4.1947,4.2187,4.2372,4.2507,4.2561,4.2594,4.239,4.2274,4.207,4.1984,4.2102,4.2216,4.2349,4.2352,4.2367,4.2326,4.2272,4.2068,4.1843,4.1475,4.1134,4.0809,4.0502,4.0222,3.9972,3.9668,3.9553,3.9457,3.9467,3.9604,3.9768,4.0022,4.0227,4.0395,4.0618,4.0758,4.092,4.1114,4.1374,4.1478,4.152,4.1571,4.1508,4.1355,4.1356,4.1391,4.1428,4.1543,4.1499,4.1429,4.1178,4.0821,4.0489,4.0195,4.0034,3.9845,3.9745,3.9561,3.9282,3.8889,3.8468,3.8029,3.7728,3.7491,3.7165,3.6951,3.6975,3.7099,3.7284,3.7509,3.7841,3.8059,3.841,3.8795,3.9267,3.9679,4.0186,4.0792,4.1609,4.256,4.3562,4.466,4.5838,4.7266,4.8908,5.0666,5.2566,5.4674,5.6932,5.9271,6.1809,6.4497
212,3,5.8081,5.6272,5.4644,5.3117,5.1605,5.0294,4.9165,4.7946,4.6957,4.5996,4.5142,4.4418,4.3715,4.3079,4.253,4.2105,4.1866,4.1737,4.1756,4.1601,4.1645,4.1637,4.1583,4.1581,4.1725,4.1969,4.2227,4.2598,4.2979,4.3471,4.3933,4.4558,4.5032,4.5538,4.5755,4.6012,4.6501,4.6968,4.7506,4.7953,4.8167,4.8189,4.7922,4.7685,4.7522,4.7299,4.7014,4.6533,4.6023,4.5499,4.5091,4.4695,4.437,4.4111,4.387,4.3624,4.3548,4.3566,4.3674,4.3663,4.3754,4.3878,4.3976,4.4155,4.4191,4.4221,4.4205,4.4299,4.4525,4.4801,4.5083,4.5388,4.5732,4.5969,4.6332,4.675,4.7086,4.7585,4.7859,4.8106,4.8193,4.8093,4.7977,4.7907,4.7763,4.769,4.7487,4.7318,4.7185,4.7315,4.7346,4.7426,4.7565,4.7553,4.747,4.7449,4.7232,4.6893,4.6658,4.614,4.5591,4.5013,4.4371,4.385,4.3416,4.2883,4.2343,4.2063,4.1798,4.1607,4.1473,4.1419,4.1408,4.1417,4.1371,4.1333,4.1273,4.1095,4.0851,4.0661,4.0234,4.0001,3.9843,3.9795,3.9775,3.9731,3.9564,3.9379,3.9196,3.8947,3.8743,3.8497,3.8083,3.7707,3.7413,3.7039,3.6882,3.6814,3.6726,3.6534,3.6378,3.6356,3.6229,3.6106,3.6073,3.6088,3.6102,3.5952,3.5645,3.5325,3.4955,3.4754,3.4584,3.4437,3.4246,3.4199,3.4166,3.4271,3.4248,3.4299,3.4494,3.4763,3.5166,3.5709,3.6361,3.7148,3.7973,3.8931,3.9895,4.0942,4.1984,4.3316,4.48,4.6437,4.8211,5.0214,5.2459,5.4992,5.7832
1,4,4.1608,3.9942,3.8477,3.7093,3.5849,3.473,3.3677,3.2739,3.1924,3.1233,3.069,3.0198,2.9943,2.9745,2.9755,2.9841,2.9931,3.0148,3.0551,3.1015,3.1536,3.2063,3.2618,3.3172,3.357,3.3842,3.4193,3.4606,3.5091,3.5437,3.572,3.5997,3.6282,3.6575,3.6741,3.6779,3.6774,3.6731,3.6668,3.6656,3.6547,3.6427,3.6326,3.6287,3.6239,3.625,3.6157,3.6131,3.59,3.5615,3.5382,3.5205,3.5025,3.4868,3.4779,3.4798,3.4918,3.5048,3.5135,3.5175,3.5206,3.5322,3.5325,3.5209,3.5067,3.5139,3.5257,3.5476,3.5526,3.5693,3.5738,3.587,3.5896,3.5851,3.5886,3.5991,3.5883,3.5853,3.5788,3.5664,3.5391,3.5085,3.4694,3.4312,3.3939,3.3676,3.3397,3.3111,3.3015,3.2903,3.2885,3.2989,3.3158,3.3416,3.3807,3.4171,3.4479,3.4853,3.5064,3.5171,3.5171,3.5093,3.4971,3.4959,3.4967,3.5031,3.5218,3.5368,3.5655,3.5836,3.6089,3.6437,3.664,3.7095,3.7544,3.7917,3.8361,3.8725,3.9008,3.9293,3.939,3.9416,3.9455,3.9728,3.9924,4.0114,4.0386,4.0704,4.0819,4.0784,4.0736,4.0613,4.0625,4.0679,4.0775,4.0789,4.0676,4.0553,4.0518,4.0458,4.05,4.064,4.0629,4.0722,4.071,4.0725,4.0893,4.1124,4.1402,4.1561,4.1736,4.1849,4.1907,4.2033,4.2257,4.2702,4.3213,4.3965,4.4806,4.5658,4.6543,4.751,4.8404,4.9389,5.0502,5.1799,5.3307,5.4989,5.6718,5.8518,6.0539,6.2749,6.5053,6.7557,7.0255,7.3042,7.608,7.9347,8.2845
2,4,4.4635,4.2888,4.12,3.9415,3.7834,3.6468,3.531,3.4424,3.3553,3.2905,3.2278,3.1715,3.1354,3.1052,3.0814,3.0639,3.0652,3.077,3.1059,3.1543,3.2185,3.2739,3.3251,3.3804,3.4303,3.479,3.5405,3.5956,3.6607,3.7239,3.7832,3.8455,3.9071,3.9646,4.0108,4.0466,4.0709,4.0906,4.1081,4.1359,4.1585,4.1801,4.1882,4.1881,4.1804,4.1713,4.1461,4.1209,4.0982,4.0761,4.0578,4.0401,4.0176,3.9968,3.9788,3.9553,3.935,3.9213,3.9133,3.8981,3.885,3.8746,3.8498,3.8186,3.7685,3.7227,3.6702,3.6153,3.5638,3.5193,3.4778,3.4367,3.395,3.3562,3.3227,3.3044,3.2939,3.2988,3.3007,3.3133,3.3277,3.3397,3.3517,3.3598,3.3819,3.4183,3.4655,3.5052,3.5491,3.5847,3.6213,3.653,3.6752,3.6797,3.674,3.6626,3.6423,3.6285,3.6154,3.5908,3.5676,3.55,3.5306,3.5248,3.5283,3.5299,3.5422,3.5606,3.5937,3.6385,3.6932,3.7377,3.7749,3.7986,3.8245,3.845,3.8618,3.8858,3.9152,3.9502,3.9887,4.0332,4.0809,4.1216,4.1611,4.1835,4.1986,4.2164,4.248,4.2986,4.3472,4.395,4.433,4.4515,4.4772,4.4988,4.516,4.5278,4.5401,4.5594,4.5813,4.6055,4.6263,4.6613,4.6864,4.7087,4.7424,4.7657,4.7893,4.8025,4.8265,4.8489,4.8843,4.9149,4.9489,4.972,5.0018,5.0357,5.064,5.1064,5.1586,5.2317,5.3075,5.3895,5.5028,5.6369,5.7795,5.9384,6.1176,6.3173,6.5336,6.7788,7.0562,7.36,7.7023,8.0612,8.4618,8.9017,9.3587
3,4,5.1612,4.9152,4.6871,4.4506,4.2216,4.0166,3.8314,3.6559,3.5167,3.4003,3.3222,3.2674,3.2456,3.2465,3.2531,3.2863,3.323,3.3561,3.3835,3.429,3.46,3.4999,3.5424,3.5797,3.6309,3.6762,3.7092,3.7297,3.7551,3.7854,3.8208,3.8537,3.8917,3.9257,3.9599,4.0087,4.0385,4.0443,4.0352,4.0168,3.9987,3.9947,3.984,3.9756,3.9797,3.9806,3.9788,3.98,4.001,4.0239,4.023,4.0387,4.0433,4.0389,4.0447,4.0485,4.042,4.0394,4.0579,4.0679,4.0835,4.0836,4.0666,4.0422,4.0265,4.0246,4.0083,4.0094,4.0113,4.0143,4.0192,4.0304,4.0314,4.0018,3.9838,3.9852,3.9837,3.9667,3.9517,3.9536,3.9349,3.9013,3.8821,3.8606,3.854,3.8573,3.8601,3.8741,3.9194,3.9495,3.9633,3.9716,3.9928,3.9994,4.0111,4.0183,4.0335,4.0583,4.0775,4.0996,4.1115,4.1085,4.1084,4.1139,4.1173,4.1068,4.1004,4.1194,4.1386,4.1721,4.2087,4.2431,4.28,4.3085,4.3309,4.3611,4.3783,4.4043,4.4269,4.4648,4.4855,4.5114,4.534,4.54,4.5341,4.539,4.5568,4.5837,4.6176,4.6391,4.667,4.701,4.7329,4.7481,4.7653,4.7996,4.8264,4.8446,4.8817,4.8957,4.9141,4.9238,4.9382,4.9347,4.9242,4.9105,4.8951,4.8748,4.8445,4.8142,4.7897,4.7596,4.7287,4.6945,4.649,4.6101,4.5741,4.5609,4.5598,4.5673,4.5938,4.641,4.7171,4.8276,4.9873,5.1725,5.384,5.6105,5.8608,6.1294,6.4296,6.7448,7.0636,7.3772,7.7089,8.0662,8.4442,8.8382,9.2649
